date,state,Product,Problem,SRS,SRM
2023-08-03,in-ap,Online UPS,Backup Problem,Installation Done,Carry in
2022-12-21,in-dl,UPS EB,Backup Problem,Safari,Email
2023-01-25,in-py,UPS EB,Charging Problem,Assigned,Email
2023-01-12,in-ar,Stabilizer,Charging Problem,Estimation Pending Approval,Carry in
2022-12-15,in-ld,Stabilizer,No Display,Safari,Dealer
2023-03-30,in-sk,Jumbo,Switch Problem,Spare Parts Unavailable,Whatsapp
2023-04-16,in-kl,UPS E2,Backup Problem,Installation Done,Dealer
2022-12-10,in-up,Online UPS,BEEP Sound,Spare Parts Unavailable,Carry in
2022-11-28,in-tg,Online UPS,Backup Problem,Estimation Pending Approval,Customer
2022-12-24,in-pb,UPS EB,Charging Problem,Estimation Pending Approval,Call
2023-08-29,in-mh,Stabilizer,Charging Problem,Estimation Pending Approval,Call
2023-01-17,in-ut,Jumbo,No Output Voltage,Assigned,Call
2023-01-02,in-pb,Online UPS,No Display,Spare Parts Unavailable,Carry in
2023-07-17,in-ut,UPS EB,Switch Problem,Spare Parts Unavailable,Whatsapp
2023-08-25,in-an,Online UPS,No Display,Installation Done,Dealer
2023-08-12,in-as,UPS EB,No Output Voltage,Safari,Whatsapp
2022-12-26,in-wb,UPS E2,Charging Problem,Safari,Whatsapp
2023-03-24,in-dl,Jumbo,Load Problem,Estimation Pending Approval,Dealer
2023-04-15,in-ct,UPS EB,BEEP Sound,Installation Done,Email
2023-04-04,in-as,UPS EB,Backup Problem,Estimation Pending Approval,Carry in
2022-11-21,in-gj,UPS XP,BEEP Sound,Estimation Pending Approval,Whatsapp
2023-07-07,in-ch,Stabilizer,Load Problem,Assigned,Dealer
2023-02-20,in-up,Online UPS,No Display,Assigned,Dealer
2023-02-09,in-jh,UPS EB,Load Problem,Assigned,Customer
2022-10-19,in-sk,UPS EB,Load Problem,Installation Done,Dealer
2023-06-27,in-up,UPS EB,Charging Problem,Estimation Pending Approval,Customer
2022-10-19,in-tn,UPS EB,Switch Problem,Installation Done,Call Center
2023-06-25,in-ut,Stabilizer,BEEP Sound,Estimation Pending Approval,Whatsapp
2023-04-26,in-tr,Online UPS,Backup Problem,Spare Parts Unavailable,Carry in
2022-09-22,in-jh,UPS XP,Switch Problem,Spare Parts Unavailable,Call
2023-03-15,in-ut,Online UPS,Backup Problem,Assigned,Call Center
2023-05-22,in-rj,Jumbo,No Output Voltage,Installation Done,Whatsapp
2023-08-02,in-gj,UPS XP,Load Problem,Installation Done,Whatsapp
2023-08-01,in-dn,UPS XP,Charging Problem,Installation Done,Call
2023-03-31,in-as,Online UPS,Charging Problem,Assigned,Call Center
2022-12-20,in-rj,Stabilizer,BEEP Sound,Spare Parts Unavailable,Call Center
2022-09-05,in-ct,Online UPS,No Output Voltage,Assigned,Email
2023-01-20,in-up,UPS XP,No Output Voltage,Spare Parts Unavailable,Dealer
2023-01-09,in-dd,UPS EB,Backup Problem,Estimation Pending Approval,Carry in
2023-07-15,in-ml,Stabilizer,No Display,Assigned,Dealer
2023-07-05,in-ct,UPS E2,Charging Problem,Assigned,Carry in
2022-10-23,in-jh,Jumbo,No Display,Spare Parts Unavailable,Call Center
2022-10-24,in-tr,UPS XP,BEEP Sound,Safari,Customer
2023-07-30,in-ut,Stabilizer,Switch Problem,Spare Parts Unavailable,Carry in
2022-12-31,in-mh,UPS XP,Load Problem,Installation Done,Email
2023-07-27,in-hr,Online UPS,Load Problem,Spare Parts Unavailable,Carry in
2023-03-30,in-tn,UPS XP,No Display,Assigned,Email
2022-12-11,in-an,UPS E2,Load Problem,Assigned,Call Center
2023-01-15,in-jh,UPS EB,Load Problem,Installation Done,Customer
2022-09-02,in-hr,Stabilizer,No Output Voltage,Assigned,Email
2023-06-10,in-ml,Online UPS,BEEP Sound,Spare Parts Unavailable,Dealer
2022-11-20,in-ch,UPS E2,Switch Problem,Installation Done,Call
2023-04-08,in-sk,UPS EB,No Display,Installation Done,Dealer
2023-02-13,in-ct,Online UPS,Load Problem,Spare Parts Unavailable,Call Center
2023-04-21,in-ut,Stabilizer,Backup Problem,Estimation Pending Approval,Customer
2022-09-17,in-ch,UPS E2,Load Problem,Assigned,Carry in
2022-12-22,in-or,UPS E2,Switch Problem,Safari,Whatsapp
2022-09-09,in-gj,UPS E2,No Output Voltage,Safari,Call Center
2023-03-16,in-nl,UPS E2,Load Problem,Installation Done,Carry in
2023-05-12,in-or,Online UPS,No Display,Installation Done,Email
2023-05-02,in-nl,Online UPS,No Output Voltage,Estimation Pending Approval,Email
2022-12-14,in-mp,Jumbo,No Output Voltage,Safari,Carry in
2023-02-19,in-or,Stabilizer,No Display,Estimation Pending Approval,Call Center
2023-05-22,in-as,UPS EB,No Output Voltage,Assigned,Customer
2023-04-22,in-rj,Jumbo,Load Problem,Installation Done,Carry in
